timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
135,-0.51500005,-1.75,-1.5374655,0.0303,35.0,43.577145,0.0,100.0,3813.0,767.0,1.0,213.42093,10.0,80,10,<unknown>,<unknown>,24,5,25,4
136,-0.51500005,-1.75,-1.484543,0.0303,35.0,44.64,0.0,115.0,3906.0,766.0,1.0,207.17607,10.0,69,10,<unknown>,<unknown>,23,5,17,4
137,-0.51000005,-1.75,-1.5519509,0.0302,35.0,45.748573,0.0,70.0,4003.0,766.0,1.0,215.1302,90.0,70,10,<unknown>,<unknown>,25,5,23,4
138,-0.51500005,-1.75,-1.4883142,0.0303,35.0,45.6,0.0,56.0,3990.0,766.0,1.0,207.62106,30.0,75,10,<unknown>,<unknown>,25,5,28,4
139,-0.51500005,-1.75,-1.5724226,0.0303,35.0,46.388573,0.0,54.0,4059.0,767.0,1.0,217.54587,90.0,64,10,<unknown>,<unknown>,26,5,22,4
140,-0.505,-1.75,-1.4990158,0.0301,35.0,46.514286,0.0,144.0,4070.0,767.0,1.0,208.88387,90.0,71,10,<unknown>,<unknown>,27,5,27,4
141,-0.495,-1.75,-1.5081836,0.0299,35.0,46.022858,0.0,66.0,4027.0,767.0,1.0,209.96567,50.0,77,10,<unknown>,<unknown>,27,5,32,4
142,-0.52000004,-1.75,-1.4858012,0.0304,35.0,46.297142,0.0,139.0,4051.0,767.0,1.0,207.32454,70.0,66,10,<unknown>,<unknown>,25,5,25,4
143,-0.51000005,-1.75,-1.4782989,0.0302,35.0,48.388573,0.0,135.0,4234.0,767.0,1.0,206.43927,10.0,72,10,<unknown>,<unknown>,27,5,27,4
144,-0.52500004,-1.75,-1.4423661,0.0305,35.0,45.76,0.0,120.0,4004.0,768.0,1.0,202.1992,50.0,77,10,<unknown>,<unknown>,27,5,27,4
145,1.0,-2.25,-1.86757,0.0151,45.0,63.885715,0.0,9.0,5590.0,768.0,1.0,252.37326,70.0,7,10,<unknown>,<unknown>,36,5,37,4
146,-0.39,-2.25,-1.3251657,0.0278,45.0,32.302223,0.0,133.0,3634.0,977.0,1.0,188.36955,30.0,76,10,<unknown>,<unknown>,22,6,24,5
147,-0.38500002,-2.25,-1.3300146,0.0277,45.0,30.222221,0.0,134.0,3400.0,977.0,1.0,188.94173,50.0,81,10,<unknown>,<unknown>,24,6,23,5
148,1.0,-2.25,-1.6598938,0.0131,45.0,30.56,0.0,4.0,3438.0,977.0,1.0,227.86746,70.0,2,9,<unknown>,<unknown>,22,6,22,5
